Configuration,Hidden Units,Learning Rate,Batch Size,Test Accuracy (%),Test Loss,Parameters,Training Time (sec)
1,"[128, 64, 32]",0.001,256,42.46000051498413,1.6049009561538696,404010,24.751604080200195
2,"[384, 192, 96]",0.001,64,46.72999978065491,1.487899899482727,1273450,78.02080750465393
3,"[256, 128, 64]",0.0001,64,44.530001282691956,1.5538586378097534,828490,63.71351432800293
4,"[128, 64, 32]",0.0001,128,41.6700005531311,1.6617954969406128,404010,23.104520320892334
