Configuration,Hidden Units,Learning Rate,Test Accuracy (%),Test Loss,Parameters,Training Time (sec)
1,"[256, 128, 64]",0.001,46.16999924182892,1.5000673532485962,828490,45.97841453552246
2,"[256, 128, 64]",0.0005,45.69000005722046,1.5426958799362183,828490,43.02635645866394
3,"[512, 256, 128]",0.001,45.30999958515167,1.5236214399337769,1738890,72.41006731987
4,"[512, 256, 128]",0.0005,45.96000015735626,1.5039830207824707,1738890,72.32247805595398
